id,sponsor,program,opportunity_type,deadline,award_amount,eligibility,topic_summary,keywords,source_url,notes
opp-nsf-career-2026,National Science Foundation,Faculty Early Career Development Program (CAREER),Program solicitation,2026-07-22,"Minimum generally $500k over 5 years for ENG","Eligible early-career tenure-track faculty; one proposal per annual competition","NSF-wide early-career award supporting integrated research and education plans across engineering and science directorates.","early career; engineering; education; mechanical engineering; research integration; faculty development",https://www.nsf.gov/funding/opportunities/career-faculty-early-career-development-program,"Verified June 11 2026. Strong fit only for eligible untenured tenure-track faculty."
opp-doe-cmma-ta2-2026,U.S. Department of Energy,Critical Minerals & Materials Accelerator Topic Area 2,NOFO,2026-06-25,"See NOFO","Applicants should verify cost share, teaming, and topic-specific eligibility in the NOFO","Processes to refine and alloy gallium, gallium nitride, germanium, and silicon carbide for semiconductor applications.","critical materials; gallium nitride; silicon carbide; semiconductors; advanced materials; process technology; manufacturing",https://eere-exchange.energy.gov/Default.aspx?Search=3589&SearchType=,"Verified June 11 2026. Very near-term deadline; likely requires rapid teaming and industry/national lab relevance."
opp-doe-cmma-ta3-2026,U.S. Department of Energy,Critical Minerals & Materials Accelerator Topic Area 3,NOFO,2026-07-23,"See NOFO","Applicants should verify cost share, teaming, and topic-specific eligibility in the NOFO","Cost-competitive direct lithium extraction, separation, processing, and related geothermal brine or volcanic-hosted critical materials topics.","critical materials; lithium extraction; separation; geothermal brines; processing; technoeconomic analysis; life cycle assessment",https://eere-exchange.energy.gov/Default.aspx?Search=3589&SearchType=,"Verified June 11 2026. More planning runway than Topic Area 2 but still urgent."
opp-nsf-fluid-dynamics-2026,National Science Foundation,Fluid Dynamics,Program description,2026-12-31,"Typical unsolicited CBET single-investigator projects often support one graduate student; discuss budgets with program director","U.S. institutions eligible under NSF PAPPG; program accepts full proposals throughout the year","Fundamental fluid dynamics research using experimental, theoretical, computational, AI/ML, instrumentation, diagnostics, wind/ocean energy, FSI, turbulence, bubble dynamics, and micro/nanofluidics approaches.","fluid dynamics; turbulence; multiphase flow; bubble dynamics; AI; machine learning; instrumentation; flow diagnostics; wind energy; fluid structure interaction",https://www.nsf.gov/funding/opportunities/fluid-dynamics,"Accepted anytime. Deadline field uses 2026-12-31 only for chart placement; proposals can be submitted throughout the year."
opp-nsf-cdse-cbet-cmmi-2026,National Science Foundation,Computational and Data-Enabled Science and Engineering (CDS&E),Program description,2026-09-15,"See program page","Relevant to CBET and CMMI during September 1-15 annual window","Computational and data-enabled research across science and engineering, including CBET and CMMI participation.","computational modeling; data-enabled science; AI; machine learning; engineering; manufacturing; materials; transport phenomena",https://www.nsf.gov/funding/opportunities/cdse-computational-data-enabled-science-engineering,"Verified June 11 2026. Window is September 1-15 for CBET/CMMI."
opp-nsf-eclipse-2026,National Science Foundation,ECosystem for Leading Innovation in Plasma Science and Engineering (ECLIPSE),Program solicitation,2026-08-11,"See solicitation","Institutional and PI eligibility must be checked against solicitation","Cross-disciplinary plasma science and engineering ecosystem opportunity with CMMI/CBET/ECCS windows and EPSCoR-related components.","plasma science; engineering; materials; high-temperature systems; manufacturing; energy; aerospace",https://www.nsf.gov/funding/opportunities/eclipse-ecosystem-leading-innovation-plasma-science-engineering,"Verified June 11 2026. Include only if a credible plasma/high-temperature/aerospace angle exists."
opp-nasa-roses-2025-rapid-response,NASA,ROSES-2025 Rapid Response and Novel Research in Earth Science,ROSES program element,2026-08-31,"See ROSES program element","No fixed proposal due date; submit before ROSES-25 close date subject to element rules","NASA Earth Science rapid response and novel research mechanism with no fixed proposal due date; close date shown as last day to submit under ROSES-25 rules.","NASA; earth science; rapid response; remote sensing; water; climate; sensing; field deployment",https://simpler.grants.gov/opportunity/f412520b-5594-4ff2-ae51-9de1b8d8efef,"Screened from Simpler Grants.gov and NASA ROSES context. Verify specific ROSES element text before action."
opp-nasa-roses-2026-smex,NASA,Astrophysics Explorers Program 2026 SMEX AO,Announcement of opportunity,2026-09-09,"Mission-scale AO; see NASA solicitation","Mandatory NOI due July 21 2026; full proposal due September 9 2026","NASA Astrophysics Small Explorer mission opportunity; mostly aerospace/space systems rather than ordinary single-PI research.","NASA; space; aerospace systems; mission design; instrumentation; systems engineering",https://science.nasa.gov/researchers/sara/grant-solicitations/,"Verified June 11 2026. Low direct fit for most MEEG faculty except aerospace/systems/instrumentation teams."
opp-arpae-scaleup-ready-2026,ARPA-E,SCALEUP Ready,NOFO,2026-12-31,"See NOFO","Generally for scaling promising ARPA-E-funded technologies; verify prior award/technology eligibility","Open-ended scale-up mechanism for promising energy technologies moving toward early commercial products.","ARPA-E; energy technology; scale-up; commercialization; prototype; translational research; industry partnership",https://arpa-e-foa.energy.gov/Default.aspx?Search=CONNECT&SearchType=,"Accepted anytime while open. Deadline field uses 2026-12-31 only for chart placement."
opp-doe-sc-sbir-phaseii-2026,U.S. Department of Energy Office of Science,FY26 SBIR/STTR Phase II Applications from FY26 Phase I Awards,SBIR/STTR,2026-12-17,"See DOE Office of Science announcement","Only relevant through eligible small business teams with FY26 Phase I awards","DOE Office of Science SBIR/STTR Phase II opportunity; useful for faculty-industry teams and commercialization pathways rather than ordinary university-led proposals.","SBIR; STTR; small business; commercialization; energy; materials; computation; instrumentation",https://science.osti.gov/grants/FOAs/Open,"Verified June 11 2026. Track for faculty with company partners; not a standard university PI opportunity."
