opportunity_id,program,sponsor,faculty_id,faculty_name,score,fit_level,matched_keyword_count,matched_keywords,rationale
opp-doe-genesis-phaseii-2026,The Genesis Mission FY 2026 SBIR Phase II,U.S. Department of Energy Office of Science,fac-han-hu,Han Hu,0.286,promising,2,energy systems; thermal management,"Han Hu matches The Genesis Mission FY 2026 SBIR Phase II through shared terms: energy systems, thermal management."
opp-doe-genesis-phaseii-2026,The Genesis Mission FY 2026 SBIR Phase II,U.S. Department of Energy Office of Science,fac-darin-nutter,Darin Nutter,0.143,exploratory,1,energy systems,Darin Nutter matches The Genesis Mission FY 2026 SBIR Phase II through shared terms: energy systems.
opp-doe-sc-continuation-2026,FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program,U.S. Department of Energy Office of Science,fac-david-huitink,David Huitink,0.286,promising,2,manufacturing; materials,"David Huitink matches FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program through shared terms: manufacturing, materials."
opp-doe-sc-continuation-2026,FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program,U.S. Department of Energy Office of Science,fac-han-hu,Han Hu,0.286,promising,2,diagnostics; energy systems,"Han Hu matches FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program through shared terms: diagnostics, energy systems."
opp-doe-sc-continuation-2026,FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program,U.S. Department of Energy Office of Science,fac-min-zou,Min Zou,0.286,promising,2,manufacturing; materials,"Min Zou matches FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program through shared terms: manufacturing, materials."
opp-doe-sc-continuation-2026,FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program,U.S. Department of Energy Office of Science,fac-wenchao-zhou,Wenchao Zhou,0.286,promising,2,manufacturing; materials,"Wenchao Zhou matches FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program through shared terms: manufacturing, materials."
opp-doe-sc-continuation-2026,FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program,U.S. Department of Energy Office of Science,fac-darin-nutter,Darin Nutter,0.143,exploratory,1,energy systems,Darin Nutter matches FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program through shared terms: energy systems.
opp-doe-sc-continuation-2026,FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program,U.S. Department of Energy Office of Science,fac-wan-shou,Wan Shou,0.143,exploratory,1,manufacturing,Wan Shou matches FY 2026 Continuation Solicitation for the Office of Science Financial Assistance Program through shared terms: manufacturing.
opp-dow-durip-2027,FY 2027 Defense University Research Instrumentation Program,Department of War,fac-han-hu,Han Hu,0.286,promising,2,flow diagnostics; multiphase flow,"Han Hu matches FY 2027 Defense University Research Instrumentation Program through shared terms: flow diagnostics, multiphase flow."
opp-nist-chips-crdo-baa-2026,CHIPS Research and Development Office Broad Agency Announcement,National Institute of Standards and Technology,fac-david-huitink,David Huitink,0.375,promising,3,manufacturing; materials; semiconductors,"David Huitink matches CHIPS Research and Development Office Broad Agency Announcement through shared terms: manufacturing, materials, semiconductors."
